"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","species_tax_ids","genus_nt_count","expected_bg_count","p_val"
"RR_hela2_2-5ng_SEQ000AOP_B05_S66",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",50.1922933231317,100,100,0.535914961690824,19,NA,NA,97.0105,91.9474,48.2882,NA,NA,100,0.338472607383678,12,NA,NA,72.7204,35.2,184.519,NA,NA,"",19,43.5604721789148,0.341902156911631
"RR_hela2_2-5ng_SEQ000AOP_O10_S159",337042,1,333750,"Alphapapillomavirus 7","","viruses",27223488.9471153,100,99,1400.6863073508,81312,5,80592,99.9738,4945.39,303.642,0.00581288,0.0572502,100,1363.16792411819,79134,4,79834,99.9882,652.628,307.56,NA,NA,"",81312,58104.9240509708,0.194013341579264
"RR_hela2_2-5ng_SEQ000AOP_O10_S159",10566,1,10566,"Human papillomavirus","","viruses",138606.550837974,99,46.0467574718286,2.61836283349717,152,1,70,95.6996,149.319,62.1042,0.00708345,0.0567093,99,13.5913702344031,789,1,758,99.8331,92.3829,77.0879,0.00301324,0.021518,"",152,93.1832270463938,0.1738379589651
"RR_hela2_2-5ng_SEQ000AOP_O10_S159",12475,1,39759,"Hepatitis delta virus","","viruses",3789.73568006169,100,100,0.275617140368123,16,NA,NA,99.8833,135.583,80.2584,NA,NA,100,0.103356427638046,6,NA,NA,89.7,42.5,307.653,NA,NA,"",16,8.38847258820675,0.151269070070924
"RR_hela2_2-5ng_SEQ000AOP_O10_S159",10713,1,308911,"Enterobacteria phage phi80","","viruses",2583.91069095116,100,100,0.241164997822108,14,NA,NA,100,194,105.228,NA,NA,100,0.0172260712730077,1,NA,NA,100,48,307.653,NA,NA,"",14,26.0986965379505,0.314477861739088
"RR_hela2_2-5ng_SEQ000AOP_O10_S159",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",81.3810477267302,100,100,0.82685142110437,48,NA,NA,95.6023,81.5,38.8088,NA,NA,100,0.120582498911054,7,NA,NA,100,40,307.653,NA,NA,"",48,76.5262614260329,0.297841776192424
"RR_hela2_2-5ng_SEQ003_B05_S66",337042,1,333750,"Alphapapillomavirus 7","","viruses",31905008.0035973,100,99,1627.5286104583,41160,2,40735,99.8564,2887.48,305.297,0.00581288,0.0572502,100,1611.47475681773,40754,4,41173,99.9817,578.941,304.964,NA,NA,"",41160,16943.0071860845,0.124943566260869
"RR_hela2_2-5ng_SEQ003_B05_S66",10566,1,10566,"Human papillomavirus","","viruses",171739.054982226,99,99,17.5168895634846,443,1,430,99.9789,281.778,145.607,0.00708345,0.0567093,14.5607794144392,0.316332091439903,8,NA,NA,91,40.1429,307.653,0.00301324,0.021518,"",443,161.078132687327,0.11050311257525
"RR_hela2_2-5ng_SEQ003_B05_S66",37296,1,10379,"Human gammaherpesvirus 8","","viruses",1581.66045719952,100,100,0.0790830228599758,2,NA,NA,100,146,87.6021,NA,NA,100,0.0790830228599758,2,NA,NA,100,48,307.653,NA,NA,"",2,0.656485887940792,0.0851269677228283
"RR_hela2_2-5ng_SEQ003_B05_S66",129951,1,10509,"Human mastadenovirus C","","viruses",0.529843434989241,1.7636640336887,1.7636640336887,0.158166045719952,4,NA,NA,99.825,146,87.2588,0.0171119,0.0799779,1.18348630138861,0.0790830228599758,2,NA,NA,100,48,307.653,0.0114153,0.0571766,"",4,173.770176300296,0.626792657959095
"RR_hela2_2-5ng_SEQ003_B05_S66",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",0.185320914833344,100,100,0.0790830228599758,2,NA,NA,100,146,87.6021,NA,NA,100,0.0790830228599758,2,NA,NA,100,48,307.653,NA,NA,"",2,5.08668298822624,0.327138500441178
"RR_hela3_250pg_SEQ000AOP_B07_S98",337042,1,333750,"Alphapapillomavirus 7","","viruses",9953800.89538887,100,99,510.984523976834,26120,3,25967,99.9956,4617.88,304.343,0.00581288,0.0572502,100,499.559755140598,25536,2,25743,99.9946,608.773,307.366,NA,NA,"",26120,197502.264597579,0.482576467597946
"RR_hela3_250pg_SEQ000AOP_B07_S98",10566,1,10566,"Human papillomavirus","","viruses",45946.7111493716,99,12.9839204992611,0.743392492768747,38,NA,NA,99.9696,80.1739,42.6409,0.00708345,0.0567093,99,4.6755475203087,239,2,232,95.1056,90.2717,72.9278,0.00301324,0.021518,"",38,316.735606573187,0.491045697859699
"RR_hela3_250pg_SEQ000AOP_O12_S191",337042,1,333750,"Alphapapillomavirus 7","","viruses",14831764.6880709,100,99,763.435397608818,29953,4,29751,99.9728,2535.42,304.378,0.00581288,0.0572502,100,742.35700566736,29126,3,29401,99.9936,533.448,307.282,NA,NA,"",29953,212903.318043013,0.476108198839053
"RR_hela3_250pg_SEQ000AOP_O12_S191",10566,1,10566,"Human papillomavirus","","viruses",96435.4936543303,99,5.7178920688079,0.331341106697648,13,NA,NA,98.36,105.4,57.9842,0.00708345,0.0567093,99,9.83828209117631,386,1,350,99.7786,90.3761,87.4583,0.00301324,0.021518,"",13,341.434371495427,0.594416713590786
"RR_hela3_250pg_SEQ000AOP_O12_S191",10713,1,308911,"Enterobacteria phage phi80","","viruses",14782.9109142027,100,100,0.611706658518734,24,1,24,100,245,124.385,NA,NA,100,0.86658443290154,34,1,24,98.72,61,155.305,NA,NA,"",24,95.6287127172408,0.40937551497297
"RR_hela3_250pg_SEQ000AOP_O12_S191",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",7750.37060784411,100,100,3.87414217061865,152,NA,NA,96.2413,71.5385,31.4905,NA,NA,100,6.60133435651467,259,2,245,76.3303,15.0124,3.11921,NA,NA,"",153,280.401278224496,0.317595033183409
"RR_hela3_250pg_SEQ003_B07_S98",337042,1,333750,"Alphapapillomavirus 7","","viruses",1498461.45990623,100,99,77.0300916561584,1756,3,1721,99.8232,2487.86,301.073,0.00581288,0.0572502,100,75.0999526852751,1712,3,1721,99.7958,508.864,305.65,NA,NA,"",1756,11428.0218924745,0.466728022262066
"RR_hela3_250pg_SEQ003_B07_S98",12475,1,39759,"Hepatitis delta virus","","viruses",7018.68716684814,100,100,0.350934358342407,8,NA,NA,100,256,131.307,NA,NA,100,0.350934358342407,8,NA,NA,96.429,28,13.4449,NA,NA,"",8,0.591184595636155,0.00649877113366069
"RR_hela3_250pg_SEQ003_B07_S98",2219103,1,2219103,"Inoviridae sp.","","viruses",2716.11316549279,100,100,0.263200768756805,6,NA,NA,97.6,145.5,82.4547,NA,NA,100,0.263200768756805,6,NA,NA,98.95,48,307.653,NA,NA,"",6,0.321244350383815,0.00274762732424525
"RR_hela3_250pg_SEQ003_B07_S98",129951,1,10509,"Human mastadenovirus C","","viruses",218.790452132966,14.0466899557606,14.0466899557606,1.14053666461282,26,NA,NA,99.9,132.286,78.0518,0.0171119,0.0799779,6.70529295437658,0.394801153135208,9,NA,NA,99.2571,36.8571,307.653,0.0114153,0.0571766,"",26,117.207610030995,0.4237801515617
"RR_hela3_250pg_SEQ003_B07_S98",10566,1,10566,"Human papillomavirus","","viruses",0.169515179820838,1.42216778527687,1.42216778527687,0.0877335895856018,2,NA,NA,100,146,87.6021,0.00708345,0.0567093,-100,0,0,NA,NA,0,0,0,0.00301324,0.021518,"",2,108.646853922222,0.634124393605776
"RR_hela4_25pg_SEQ000AOP_B09_S130",337042,1,333750,"Alphapapillomavirus 7","","viruses",2120597.61438634,100,99,108.202537209339,3088,1,3018,99.9771,4482.8,302.702,0.00581288,0.0572502,100,107.081267393698,3056,2,3024,99.8204,561.547,306.919,NA,NA,"",3088,258868.442508927,0.683167015952224
"RR_hela4_25pg_SEQ000AOP_B09_S130",10566,1,10566,"Human papillomavirus","","viruses",4.18381749204592,4.20026912995626,4.20026912995626,0.245277772171429,7,NA,NA,99.6286,73.7143,37.9216,0.00708345,0.0567093,-100,0,0,NA,NA,0,0,0,0.00301324,0.021518,"",7,415.148926660591,0.654028793931017
"RR_hela4_25pg_SEQ000AOP_B09_S130",129951,1,10509,"Human mastadenovirus C","","viruses",0.283254625948745,1.53851035042308,1.53851035042308,0.140158726955102,4,NA,NA,100,101,56.8861,0.0171119,0.0799779,-100,0,0,NA,NA,0,0,0,0.0114153,0.0571766,"",4,54.6325481555526,0.527610254190127
"RR_hela4_25pg_SEQ000AOP_O14_S223",337042,1,333750,"Alphapapillomavirus 7","","viruses",2441919.35465156,100,99,124.689058334308,2794,2,2736,99.9293,2379.28,302.808,0.00581288,0.0572502,100,123.21635292091,2761,2,2736,99.8565,489.397,307.653,NA,NA,"",2794,232863.47446622,0.682787146172469
"RR_hela4_25pg_SEQ000AOP_O14_S223",2100421,1,2100421,"uncultured Caudovirales phage","","viruses",16.5460836620628,100,100,0.267764620617697,6,1,6,100,266,135.951,NA,NA,100,0.267764620617697,6,1,6,100,49,28.8013,NA,NA,"",6,1.09734161979228,0.0440986900365635
"RR_hela4_25pg_SEQ000AOP_O14_S223",186617,1,186617,"uncultured marine virus","","viruses",0.0140277378896355,0.72610967851762,0.72610967851762,0.0892548735392324,2,NA,NA,100,90,49.3872,0.0168234,0.0997528,-100,0,0,NA,NA,0,0,0,0.0227963,0.148573,"",2,57.3607037089563,0.583150993648881
"RR_hela4_25pg_SEQ000AOP_O14_S223",43685,1,43685,"Lactococcus phage r1t","","viruses",106.963614922679,100,100,0.446274367696162,10,1,10,93.117,247,97.0726,NA,NA,100,0.446274367696162,10,1,10,93.902,82,46.202,NA,NA,"",10,1.8289026996538,0.0444635740429781
"RR_hela4_25pg_SEQ000AOP_O14_S223",10566,1,10566,"Human papillomavirus","","viruses",2.75629458106705,4.00788333205839,3.02289566399982,0.178509747078465,4,NA,NA,100,118.5,68.8338,0.00708345,0.0567093,4.00788333205839,0.0892548735392324,2,NA,NA,90,20,307.653,0.00301324,0.021518,"",4,373.444598137039,0.680942197787733
"RR_hela4_25pg_SEQ003_B09_S130",337042,1,333750,"Alphapapillomavirus 7","","viruses",23016021.6467802,100,99,1233.06028663331,3940,4,3790,99.9462,2089.95,289.873,0.00581288,0.0572502,100,1104.12098762496,3528,4,3607,99.7742,517.531,303.371,NA,NA,"",3940,111518.269153343,0.60423177033041
"RR_hela4_25pg_SEQ003_B09_S130",129951,1,10509,"Human mastadenovirus C","","viruses",380347.147155418,99,99,23.1590003073262,74,NA,NA,99.8478,136.283,80.6718,0.0171119,0.0799779,99,15.6479731806258,50,NA,NA,99.325,42.75,307.653,0.0114153,0.0571766,"",74,1143.74910419657,0.551540438564783
"RR_hela4_25pg_SEQ003_B09_S130",1654780,1,1982251,"Propionibacterium phage Enoki","","viruses",1140.43076340797,35.7685672197853,35.7685672197853,1.8777567816751,6,NA,NA,95.45,141.5,75.6153,0.00531521,0.0523488,-100,0,0,NA,NA,0,0,0,0.00113559,0.0111843,"",12,14.6951536188715,0.342563078943275
"RR_hela5_2-5pg_SEQ000AOP_B11_S162",337042,1,333750,"Alphapapillomavirus 7","","viruses",279315.597433246,100,99,15.8543145228056,613,5,485,99.9202,435.692,235.865,0.00581288,0.0572502,100,12.5179253328514,484,4,379,99.8773,147.625,179.524,NA,NA,"",614,382034.979455003,0.790156515834129
"RR_hela5_2-5pg_SEQ000AOP_B11_S162",10713,1,308911,"Enterobacteria phage phi80","","viruses",9828.12319521389,100,100,0.82763142696538,32,NA,NA,99.6857,135.643,75.7302,NA,NA,100,0.155180892556009,6,NA,NA,98.718,78,50.6716,NA,NA,"",32,171.596730544418,0.443732655930848
"RR_hela5_2-5pg_SEQ000AOP_B11_S162",10665,1,10663,"Escherichia virus T4","","viruses",7879.74421880449,100,100,0.517269641853363,20,NA,NA,100,169.333,94.4046,NA,NA,100,0.439679195575358,17,NA,NA,100,52.8,255.511,NA,NA,"",20,70.3461072136435,0.394204118530964
"RR_hela5_2-5pg_SEQ000AOP_B11_S162",186617,1,186617,"uncultured marine virus","","viruses",0.459122019444757,6.05396710893363,6.05396710893363,0.620723570224035,24,NA,NA,99.4333,146,86.4592,0.0168234,0.0997528,-100,0,0,NA,NA,0,0,0,0.0227963,0.148573,"",24,94.1057643892301,0.407509205897489
"RR_hela5_2-5pg_SEQ000AOP_B11_S162",337051,1,333922,"Betapapillomavirus 1","","viruses",0.129467130580395,0.816430733505812,0.816430733505812,0.155180892556009,6,NA,NA,96.95,145.5,81.0845,0.0188141,0.167028,0.715870109530108,0.0775904462780044,3,NA,NA,97.9,48,307.653,0.0109511,0.0930886,"",6,9.48745519493523,0.287049444117617
"RR_hela5_2-5pg_SEQ000AOP_O16_S255",337042,1,333750,"Alphapapillomavirus 7","","viruses",211660.979587667,100,99,11.5460808305445,301,7,246,99.1303,348.602,199.47,0.00581288,0.0572502,100,10.6254630899031,277,6,232,98.8508,95.3673,120.538,NA,NA,"",301,252980.150688256,0.802628397155049
"RR_hela5_2-5pg_SEQ000AOP_O16_S255",1907771,1,1907771,"Parus major densovirus","","viruses",7951.7836901358,100,100,0.767181450534518,20,NA,NA,100,95,52.7975,NA,NA,100,0.19179536263363,5,NA,NA,100,31,307.653,NA,NA,"",20,37.6730914395815,0.31726140543419
"RR_hela5_2-5pg_SEQ000AOP_O16_S255",10713,1,308911,"Enterobacteria phage phi80","","viruses",5753.86087900889,100,100,0.460308870320711,12,NA,NA,100,161.667,89.0071,NA,NA,100,0.115077217580178,3,NA,NA,100,30,307.653,NA,NA,"",12,113.629822098141,0.500663634961372
"RR_hela5_2-5pg_SEQ000AOP_O16_S255",334205,1,475861,"Nupapillomavirus 1","","viruses",4603.08870320711,100,100,0.230154435160355,6,NA,NA,98.6,146,84.8539,NA,NA,100,0.230154435160355,6,NA,NA,97.9,48,307.653,NA,NA,"",6,11.3269986160884,0.30976864077268
"RR_hela5_2-5pg_SEQ000AOP_O16_S255",10724,1,10724,"Bacillus phage SPP1","","viruses",12.493976964696,100,100,0.153436290106904,4,NA,NA,90.8,142,67.0269,NA,NA,100,0.115077217580178,3,NA,NA,97.9,48,307.653,NA,NA,"",4,7.53461828791631,0.304175589622409
"RR_hela5_2-5pg_SEQ000AOP_O16_S255",10566,1,10566,"Human papillomavirus","","viruses",2.98584564760847,5.20791790966529,1.90433963353767,0.115077217580178,3,NA,NA,89.6,135,60.8861,0.00708345,0.0567093,5.20791790966529,0.115077217580178,3,NA,NA,91.7,48,307.653,0.00301324,0.021518,"",3,405.705836550712,0.701632451644271
"RR_hela5_2-5pg_SEQ003_B11_S162",337042,1,333750,"Alphapapillomavirus 7","","viruses",4509374.64882885,100,99,265.089193869524,184,6,150,99.9081,581.521,275.932,0.00581288,0.0572502,100,193.054086839762,134,4,100,99.8472,192.029,194.519,NA,NA,"",184,70356.395369481,0.767880099390876
"RR_hela5_2-5pg_SEQ003_B11_S162",129951,1,10509,"Human mastadenovirus C","","viruses",734256.727358645,99,99,37.4582556554763,26,2,26,99.5691,439.571,307.653,0.0171119,0.0799779,99,37.4582556554763,26,2,26,93.1674,138.286,78.2558,0.0114153,0.0571766,"",26,721.58638032387,0.60079258736158
"RR_hela5_2-5pg_SEQ003_B11_S162",10665,1,10663,"Escherichia virus T4","","viruses",344039.671174143,100,100,17.2884256871429,12,NA,NA,99.7,146,87.0133,NA,NA,100,17.2884256871429,12,NA,NA,99.7,48,307.653,NA,NA,"",12,31.7243749046439,0.357503601033522
"RR_hela5_2-5pg_SEQ003_B11_S162",10713,1,308911,"Enterobacteria phage phi80","","viruses",316954.470930953,100,100,28.8140428119048,20,NA,NA,100,174.125,81.5882,NA,NA,100,2.88140428119048,2,NA,NA,100,30,307.653,NA,NA,"",20,11.9914759261231,0.168643297484181
"RR_hela5_2-5pg_SEQ003_B11_S162",10359,1,10358,"Human betaherpesvirus 5","Human cytomegalovirus","viruses",379.306473567778,99,99,1.44070214059524,1,NA,NA,97.3,110,58.9208,0.000335689,0.00330615,-100,0,0,NA,NA,0,0,0,0.00654756,0.0363966,"",1,0.597130770673227,0.128670423328889
"RR_hela6_0-25pg_SEQ000AOP_B13_S194",10713,1,308911,"Enterobacteria phage phi80","","viruses",8560.127189391,100,100,0.755305340240382,15,NA,NA,99.6818,143.636,85.3642,NA,NA,100,0.100707378698718,2,NA,NA,100,48,307.653,NA,NA,"",15,98.0067591561889,0.463060540212179
"RR_hela6_0-25pg_SEQ000AOP_B13_S194",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",1939.72318152552,100,100,3.77652670120191,75,NA,NA,92.6551,70.3333,28.9363,NA,NA,100,0.503536893493588,10,NA,NA,85.7894,53.8,137.897,NA,NA,"",75,287.374155326062,0.406700224348997
"RR_hela6_0-25pg_SEQ000AOP_B13_S194",337042,1,333750,"Alphapapillomavirus 7","","viruses",1195.02332180164,100,24.5255112083809,1.40990330178205,28,NA,NA,100,107.1,61.0525,0.00581288,0.0572502,100,0.8560127189391,17,NA,NA,95.88,25.2,307.653,NA,NA,"",28,218197.690025301,0.874645778802677
"RR_hela6_0-25pg_SEQ000AOP_O18_S287",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",41401.1246730584,100,100,4.65998255514048,141,1,32,93.0142,83.4476,35.4178,NA,NA,100,16.7891570071728,508,3,498,79.6023,19.163,9.58098,NA,NA,"",142,301.392666743187,0.336249278196282
"RR_hela6_0-25pg_SEQ000AOP_O18_S287",337042,1,333750,"Alphapapillomavirus 7","","viruses",3866.03392388501,100,40.3082196522704,2.31346651673641,70,2,44,99.8805,232,121.372,0.00581288,0.0572502,100,1.25588182337119,38,1,12,84.9623,40.8571,181.841,NA,NA,"",70,228841.677148428,0.850522774855045
"RR_hela6_0-25pg_SEQ003_B13_S194",129951,1,10509,"Human mastadenovirus C","","viruses",393467.65295498,99,99,23.3103855537771,36,NA,NA,99.9682,117.909,68.3665,0.0171119,0.0799779,99,16.8352784555057,26,NA,NA,100,31.5294,307.653,0.0114153,0.0571766,"",36,900.007875579799,0.592706746074166
"RR_hela6_0-25pg_SEQ003_B13_S194",337042,1,333750,"Alphapapillomavirus 7","","viruses",61392.1485007633,100,99,6.47510709827141,10,1,6,99.825,209.5,113.523,0.00581288,0.0572502,100,3.88506425896284,6,NA,NA,99.16,47.4,307.653,NA,NA,"",10,87752.9172619894,0.876721622443085
"RR_hela6_0-25pg_SEQ003_B13_S194",2079403,1,1982251,"Propionibacterium phage pa29399-1-D_2","","viruses",47308.637815543,100,100,1.29502141965428,2,NA,NA,99.597,248,124.613,NA,NA,100,5.82759638844426,9,1,6,55.322,37.5556,46.297,NA,NA,"",16,0.990369536105549,0.126015611386721
"RR_hela6_0-25pg_SEQ003_B13_S194",2079400,1,1982251,"Propionibacterium phage pa27","","viruses",10711.8394703973,100,100,1.29502141965428,2,NA,NA,99.3,142,83.4949,NA,NA,100,0.647510709827141,1,NA,NA,100,48,307.653,NA,NA,"",16,1.15794136578355,0.143344974180737
"RR_hela6_0-25pg_SEQ003_B13_S194",10665,1,10663,"Escherichia virus T4","","viruses",12349.2948538367,100,100,0.647510709827141,1,NA,NA,100,146,87.6021,NA,NA,100,0.647510709827141,1,NA,NA,100,48,307.653,NA,NA,"",1,39.5686338331532,0.592020003348374
"RR_hela7_0-025pg_SEQ000AOP_B15_S226",10665,1,10663,"Escherichia virus T4","","viruses",14082.3729970065,100,100,0.707656934522941,18,NA,NA,99.85,115,66.2032,NA,NA,100,0.707656934522941,18,NA,NA,99.5667,38,307.653,NA,NA,"",18,56.3738771488217,0.379985671020756
"RR_hela7_0-025pg_SEQ000AOP_B15_S226",186617,1,186617,"uncultured marine virus","","viruses",14.071205257784,11.6548590536296,11.6548590536296,1.1794282242049,30,NA,NA,99.3357,127.071,73.5975,0.0168234,0.0997528,-100,0,0,NA,NA,0,0,0,0.0227963,0.148573,"",30,75.4143620849214,0.35467132770601
"RR_hela7_0-025pg_SEQ000AOP_B15_S226",2576457,1,2576457,"Finch associated genomovirus 5","","viruses",6290.28386242614,100,100,0.314514193121307,8,NA,NA,96.4,111,58.2147,NA,NA,100,0.314514193121307,8,NA,NA,97.2,36,307.653,NA,NA,"",8,11.7322972901599,0.280023631692666
"RR_hela7_0-025pg_SEQ000AOP_O20_S319",10713,1,308911,"Enterobacteria phage phi80","","viruses",7393.81842978957,100,100,0.492921228652638,14,NA,NA,99.8833,119.333,69.1707,NA,NA,100,0.246460614326319,7,NA,NA,100,44,307.653,NA,NA,"",14,121.860036868391,0.49281339565146
"RR_hela7_0-025pg_SEQ000AOP_O20_S319",10665,1,10663,"Escherichia virus T4","","viruses",4848.84638201488,100,100,0.42250391027369,12,NA,NA,99.0833,97.5,53.6455,NA,NA,100,0.211251955136845,6,NA,NA,98.6,48,307.653,NA,NA,"",12,49.9565416625663,0.411744002229957
